analysis_id,analysis_description,outcome_id,outcome_name,comparator_id,comparator_name,target_id,target_name,rr,ci_95lb,ci_95ub,p,target,comparator,target_days,comparator_days,events_target,events_comparator,log_rr,se_log_rr,llr,eval_cohort,exposure_cohort,sens_pe,sens_lb,sens_ub,spec_pe,spec_lb,spec_ub,ppv_pe,ppv_lb,ppv_ub,npv_pe,npv_lb,npv_ub,database_id
3,"PS matched, 183d",4009,Ischemic stroke NC,3,THZ w hypertension,5,ndCCB w hypertension,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
3,"PS matched, 183d",4009,Ischemic stroke NC,3,THZ w hypertension,1,ACEI w hypertension,1.0898,0.9641,1.23214,0.16941,118362,118362,19807541,19825233,534,490,0.08599,0.06258,0.9456,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
4,"PS matched, QBA, 183d",4009,Ischemic stroke NC,3,THZ w hypertension,5,ndCCB w hypertension,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,Ischemic stroke,NA,0.603,0.6,0.607,0.996,0.995,0.996,0.837,0.834,0.841,0.985,0.985,0.985,optum_extended_dod
4,"PS matched, QBA, 183d",4008,Ischemic stroke PL,3,THZ w hypertension,1,ACEI w hypertension,NA,NA,NA,NA,119136,119136,NA,NA,-64,-103,NA,NA,0.42879,Ischemic stroke,NA,0.589,0.586,0.593,0.997,0.997,0.997,0.872,0.869,0.875,0.985,0.984,0.985,optum_extended_dod
4,"PS matched, QBA, 183d",4008,Ischemic stroke PL,2,ARB w hypertension,1,ACEI w hypertension,4.20593,2.334,7.57917,0,150881,150881,NA,NA,139,33,1.43649,0.30047,1.91175,Ischemic stroke,NA,0.589,0.586,0.593,0.997,0.997,0.997,0.872,0.869,0.875,0.985,0.984,0.985,optum_extended_dod
4,"PS matched, QBA, 183d",4009,Ischemic stroke NC,1,ACEI w hypertension,4,dCCB w hypertension,0.8968,0.71646,1.12252,0.34162,152762,152762,NA,NA,788,878,-0.10893,0.11454,0.65682,Ischemic stroke,NA,0.603,0.6,0.607,0.996,0.995,0.996,0.837,0.834,0.841,0.985,0.985,0.985,optum_extended_dod
4,"PS matched, QBA, 183d",4009,Ischemic stroke NC,2,ARB w hypertension,1,ACEI w hypertension,1.428,1.00205,2.03501,0.04869,149354,149354,NA,NA,480,337,0.35627,0.18073,2.19692,Ischemic stroke,NA,0.603,0.6,0.607,0.996,0.995,0.996,0.837,0.834,0.841,0.985,0.985,0.985,optum_extended_dod
4,"PS matched, QBA, 183d",4008,Ischemic stroke PL,1,ACEI w hypertension,4,dCCB w hypertension,0.95144,0.67402,1.34304,0.77715,154874,154874,NA,NA,335,352,-0.04978,0.17588,0.03754,Ischemic stroke,NA,0.589,0.586,0.593,0.997,0.997,0.997,0.872,0.869,0.875,0.985,0.984,0.985,optum_extended_dod
4,"PS matched, QBA, 183d",4008,Ischemic stroke PL,3,THZ w hypertension,5,ndCCB w hypertension,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,Ischemic stroke,NA,0.589,0.586,0.593,0.997,0.997,0.997,0.872,0.869,0.875,0.985,0.984,0.985,optum_extended_dod
4,"PS matched, QBA, 183d",4009,Ischemic stroke NC,3,THZ w hypertension,1,ACEI w hypertension,3.66056,2.36909,5.65605,0,118362,118362,NA,NA,101,28,1.29762,0.222,0.9456,Ischemic stroke,NA,0.603,0.6,0.607,0.996,0.995,0.996,0.837,0.834,0.841,0.985,0.985,0.985,optum_extended_dod
5,"Unadjusted, 365d",4009,Ischemic stroke NC,2,ARB w hypertension,1,ACEI w hypertension,1.04268,0.97891,1.11142,0.19689,441254,151920,134682918,44626213,3863,1276,0.04179,0.03239,0.83679,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
5,"Unadjusted, 365d",4009,Ischemic stroke NC,3,THZ w hypertension,5,ndCCB w hypertension,2.93423,2.59039,3.31711,0,19024,125942,5628099,38398797,368,841,1.07644,0.06308,124.01433,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
5,"Unadjusted, 365d",4009,Ischemic stroke NC,3,THZ w hypertension,1,ACEI w hypertension,1.31448,1.22043,1.41753,0,441212,125883,134670980,38383115,3862,840,0.27344,0.03819,27.10793,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
5,"Unadjusted, 365d",4008,Ischemic stroke PL,2,ARB w hypertension,1,ACEI w hypertension,1.11536,1.02844,1.21118,0.00888,445304,153507,135911890,45070867,2435,753,0.10918,0.04172,3.4759,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
5,"Unadjusted, 365d",4008,Ischemic stroke PL,3,THZ w hypertension,1,ACEI w hypertension,1.31838,1.20068,1.45042,0,445261,126694,135899587,38617646,2434,526,0.2764,0.04821,17.43026,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
5,"Unadjusted, 365d",4008,Ischemic stroke PL,3,THZ w hypertension,5,ndCCB w hypertension,3.19499,2.74567,3.70823,0,19408,126753,5728969,38633328,255,526,1.16158,0.07667,97.13599,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
5,"Unadjusted, 365d",4008,Ischemic stroke PL,1,ACEI w hypertension,4,dCCB w hypertension,1.34111,1.25311,1.43459,0,175542,445278,51465033,135906535,1285,2435,0.2935,0.0345,34.82843,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
5,"Unadjusted, 365d",4009,Ischemic stroke NC,1,ACEI w hypertension,4,dCCB w hypertension,1.33435,1.26396,1.40821,0,173073,441230,50781121,134678235,2016,3863,0.28845,0.02757,52.79005,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
6,"QBA, 365d",4008,Ischemic stroke PL,1,ACEI w hypertension,4,dCCB w hypertension,1.7557,1.57654,1.95522,0,175542,445278,NA,NA,1294,1876,0.56287,0.05492,34.82843,Ischemic stroke,NA,0.589,0.586,0.593,0.997,0.997,0.997,0.872,0.869,0.875,0.985,0.984,0.985,optum_extended_dod
6,"QBA, 365d",4009,Ischemic stroke NC,2,ARB w hypertension,1,ACEI w hypertension,1.08144,1.01444,1.15287,0.01642,441254,151920,NA,NA,3502,1116,0.0783,0.03263,0.83679,Ischemic stroke,NA,0.603,0.6,0.607,0.996,0.995,0.996,0.837,0.834,0.841,0.985,0.985,0.985,optum_extended_dod
6,"QBA, 365d",4009,Ischemic stroke NC,3,THZ w hypertension,1,ACEI w hypertension,1.78453,1.7196,1.85191,0,441212,125883,NA,NA,3501,562,0.57915,0.01891,27.10793,Ischemic stroke,NA,0.603,0.6,0.607,0.996,0.995,0.996,0.837,0.834,0.841,0.985,0.985,0.985,optum_extended_dod
6,"QBA, 365d",4009,Ischemic stroke NC,1,ACEI w hypertension,4,dCCB w hypertension,1.61631,1.48787,1.75585,0,173073,441230,NA,NA,2210,3503,0.48015,0.04225,52.79005,Ischemic stroke,NA,0.603,0.6,0.607,0.996,0.995,0.996,0.837,0.834,0.841,0.985,0.985,0.985,optum_extended_dod
6,"QBA, 365d",4008,Ischemic stroke PL,3,THZ w hypertension,5,ndCCB w hypertension,8.9556,7.13256,11.2446,0,19408,126753,NA,NA,336,249,2.19228,0.11613,97.13599,Ischemic stroke,NA,0.589,0.586,0.593,0.997,0.997,0.997,0.872,0.869,0.875,0.985,0.984,0.985,optum_extended_dod
6,"QBA, 365d",4008,Ischemic stroke PL,3,THZ w hypertension,1,ACEI w hypertension,2.14634,2.05716,2.23939,0,445261,126694,NA,NA,1874,249,0.76376,0.02165,17.43026,Ischemic stroke,NA,0.589,0.586,0.593,0.997,0.997,0.997,0.872,0.869,0.875,0.985,0.984,0.985,optum_extended_dod
6,"QBA, 365d",4008,Ischemic stroke PL,2,ARB w hypertension,1,ACEI w hypertension,1.29667,1.2148,1.38405,0,445304,153507,NA,NA,1876,499,0.2598,0.03327,3.4759,Ischemic stroke,NA,0.589,0.586,0.593,0.997,0.997,0.997,0.872,0.869,0.875,0.985,0.984,0.985,optum_extended_dod
6,"QBA, 365d",4009,Ischemic stroke NC,3,THZ w hypertension,5,ndCCB w hypertension,5.85469,4.91925,6.96802,0,19024,125942,NA,NA,487,563,1.76724,0.08882,124.01433,Ischemic stroke,NA,0.603,0.6,0.607,0.996,0.995,0.996,0.837,0.834,0.841,0.985,0.985,0.985,optum_extended_dod
7,"PS matched, 365d",4009,Ischemic stroke NC,1,ACEI w hypertension,4,dCCB w hypertension,0.96566,0.90275,1.03292,0.30915,152762,152762,45320206,45320020,1659,1718,-0.03495,0.03436,0.51542,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
7,"PS matched, 365d",4008,Ischemic stroke PL,2,ARB w hypertension,1,ACEI w hypertension,1.13441,1.02804,1.25204,0.01214,150881,150881,44227198,44454544,844,744,0.12611,0.05029,3.1507,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
7,"PS matched, 365d",4008,Ischemic stroke PL,1,ACEI w hypertension,4,dCCB w hypertension,0.97925,0.89898,1.06665,0.6307,154874,154874,45917297,45930139,1038,1060,-0.02097,0.04363,0.11535,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
7,"PS matched, 365d",4008,Ischemic stroke PL,3,THZ w hypertension,1,ACEI w hypertension,1.11715,0.9876,1.26406,0.07849,119136,119136,36333266,36341078,534,478,0.11079,0.06296,1.5502,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
7,"PS matched, 365d",4009,Ischemic stroke NC,3,THZ w hypertension,5,ndCCB w hypertension,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
7,"PS matched, 365d",4009,Ischemic stroke NC,3,THZ w hypertension,1,ACEI w hypertension,1.10996,1.00697,1.22308,0.03544,118362,118362,36097392,36117436,858,773,0.10433,0.0496,2.2159,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
7,"PS matched, 365d",4009,Ischemic stroke NC,2,ARB w hypertension,1,ACEI w hypertension,1.08852,1.00797,1.1756,0.03069,149354,149354,43793967,44023144,1365,1254,0.08482,0.03925,2.35294,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
7,"PS matched, 365d",4008,Ischemic stroke PL,3,THZ w hypertension,5,ndCCB w hypertension,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
8,"PS matched, QBA, 365d",4009,Ischemic stroke NC,1,ACEI w hypertension,4,dCCB w hypertension,0.94608,0.78497,1.14026,0.56063,152762,152762,NA,NA,1750,1848,-0.05542,0.09525,0.51542,Ischemic stroke,NA,0.603,0.6,0.607,0.996,0.995,0.996,0.837,0.834,0.841,0.985,0.985,0.985,optum_extended_dod
8,"PS matched, QBA, 365d",4009,Ischemic stroke NC,3,THZ w hypertension,1,ACEI w hypertension,1.2853,0.89481,1.84621,0.17432,118362,118362,NA,NA,642,500,0.251,0.18477,2.2159,Ischemic stroke,NA,0.603,0.6,0.607,0.996,0.995,0.996,0.837,0.834,0.841,0.985,0.985,0.985,optum_extended_dod
8,"PS matched, QBA, 365d",4009,Ischemic stroke NC,3,THZ w hypertension,5,ndCCB w hypertension,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,Ischemic stroke,NA,0.603,0.6,0.607,0.996,0.995,0.996,0.837,0.834,0.841,0.985,0.985,0.985,optum_extended_dod
8,"PS matched, QBA, 365d",4008,Ischemic stroke PL,1,ACEI w hypertension,4,dCCB w hypertension,0.96281,0.73387,1.26318,0.78444,154874,154874,NA,NA,978,1016,-0.0379,0.13854,0.11535,Ischemic stroke,NA,0.589,0.586,0.593,0.997,0.997,0.997,0.872,0.869,0.875,0.985,0.984,0.985,optum_extended_dod
8,"PS matched, QBA, 365d",4008,Ischemic stroke PL,2,ARB w hypertension,1,ACEI w hypertension,1.34475,0.83731,2.15971,0.22042,150881,150881,NA,NA,668,497,0.29621,0.24172,3.1507,Ischemic stroke,NA,0.589,0.586,0.593,0.997,0.997,0.997,0.872,0.869,0.875,0.985,0.984,0.985,optum_extended_dod
8,"PS matched, QBA, 365d",4008,Ischemic stroke PL,3,THZ w hypertension,1,ACEI w hypertension,1.46555,0.8365,2.56766,0.18156,119136,119136,NA,NA,301,206,0.38223,0.28611,1.5502,Ischemic stroke,NA,0.589,0.586,0.593,0.997,0.997,0.997,0.872,0.869,0.875,0.985,0.984,0.985,optum_extended_dod
8,"PS matched, QBA, 365d",4008,Ischemic stroke PL,3,THZ w hypertension,5,ndCCB w hypertension,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,Ischemic stroke,NA,0.589,0.586,0.593,0.997,0.997,0.997,0.872,0.869,0.875,0.985,0.984,0.985,optum_extended_dod
8,"PS matched, QBA, 365d",4009,Ischemic stroke NC,2,ARB w hypertension,1,ACEI w hypertension,1.17052,0.89206,1.53591,0.256,149354,149354,NA,NA,1281,1096,0.15745,0.13861,2.35294,Ischemic stroke,NA,0.603,0.6,0.607,0.996,0.995,0.996,0.837,0.834,0.841,0.985,0.985,0.985,optum_extended_dod
9,"Unadjusted, 730d",4008,Ischemic stroke PL,3,THZ w hypertension,5,ndCCB w hypertension,2.94258,2.60314,3.31996,0,19408,126753,9691021,65745366,382,859,1.07929,0.06205,128.94376,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
9,"Unadjusted, 730d",4009,Ischemic stroke NC,2,ARB w hypertension,1,ACEI w hypertension,1.05467,1.00225,1.11034,0.04165,441254,151920,229686772,74515817,6006,1962,0.05322,0.02613,2.08612,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
9,"Unadjusted, 730d",4009,Ischemic stroke NC,1,ACEI w hypertension,4,dCCB w hypertension,1.27803,1.22295,1.33594,0,173073,441230,84397758,229680252,3000,6007,0.24532,0.02254,57.58176,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
9,"Unadjusted, 730d",4009,Ischemic stroke NC,3,THZ w hypertension,1,ACEI w hypertension,1.28455,1.21088,1.36379,0,441212,125883,229668603,65334645,6006,1338,0.25041,0.03034,35.7005,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
9,"Unadjusted, 730d",4008,Ischemic stroke PL,3,THZ w hypertension,1,ACEI w hypertension,1.29173,1.19984,1.39221,0,445261,126694,231764036,65722037,3892,859,0.25598,0.03794,24.13253,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
9,"Unadjusted, 730d",4008,Ischemic stroke PL,1,ACEI w hypertension,4,dCCB w hypertension,1.30368,1.23448,1.3763,0,175542,445278,85515798,231775378,1995,3892,0.26519,0.02774,44.52928,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
9,"Unadjusted, 730d",4009,Ischemic stroke NC,3,THZ w hypertension,5,ndCCB w hypertension,2.77044,2.50393,3.06117,0,19024,125942,9528763,65357974,550,1339,1.01901,0.05126,168.69747,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
9,"Unadjusted, 730d",4008,Ischemic stroke PL,2,ARB w hypertension,1,ACEI w hypertension,1.10424,1.03545,1.17846,0.00266,445304,153507,231782935,75250277,3892,1216,0.09916,0.033,4.59573,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
10,"QBA, 730d",4009,Ischemic stroke NC,3,THZ w hypertension,1,ACEI w hypertension,1.45743,1.41346,1.50276,0,441212,125883,NA,NA,7080,1393,0.37667,0.01563,35.7005,Ischemic stroke,NA,0.603,0.6,0.607,0.996,0.995,0.996,0.837,0.834,0.841,0.985,0.985,0.985,optum_extended_dod
10,"QBA, 730d",4008,Ischemic stroke PL,1,ACEI w hypertension,4,dCCB w hypertension,1.46375,1.34489,1.59311,0,175542,445278,NA,NA,2506,4362,0.381,0.04321,44.52928,Ischemic stroke,NA,0.589,0.586,0.593,0.997,0.997,0.997,0.872,0.869,0.875,0.985,0.984,0.985,optum_extended_dod
10,"QBA, 730d",4009,Ischemic stroke NC,1,ACEI w hypertension,4,dCCB w hypertension,1.39568,1.30644,1.49102,0,173073,441230,NA,NA,3853,7082,0.33338,0.03371,57.58176,Ischemic stroke,NA,0.603,0.6,0.607,0.996,0.995,0.996,0.837,0.834,0.841,0.985,0.985,0.985,optum_extended_dod
10,"QBA, 730d",4009,Ischemic stroke NC,3,THZ w hypertension,5,ndCCB w hypertension,3.87583,3.37569,4.45006,0,19024,125942,NA,NA,791,1394,1.35476,0.07049,168.69747,Ischemic stroke,NA,0.603,0.6,0.607,0.996,0.995,0.996,0.837,0.834,0.841,0.985,0.985,0.985,optum_extended_dod
10,"QBA, 730d",4009,Ischemic stroke NC,2,ARB w hypertension,1,ACEI w hypertension,1.07941,1.02621,1.13536,0.00304,441254,151920,NA,NA,7080,2261,0.07641,0.02579,2.08612,Ischemic stroke,NA,0.603,0.6,0.607,0.996,0.995,0.996,0.837,0.834,0.841,0.985,0.985,0.985,optum_extended_dod
10,"QBA, 730d",4008,Ischemic stroke PL,3,THZ w hypertension,5,ndCCB w hypertension,4.51707,3.78642,5.38869,0,19408,126753,NA,NA,553,817,1.50786,0.09002,128.94376,Ischemic stroke,NA,0.589,0.586,0.593,0.997,0.997,0.997,0.872,0.869,0.875,0.985,0.984,0.985,optum_extended_dod
10,"QBA, 730d",4008,Ischemic stroke PL,3,THZ w hypertension,1,ACEI w hypertension,1.52385,1.47232,1.57719,0,445261,126694,NA,NA,4362,817,0.42124,0.01755,24.13253,Ischemic stroke,NA,0.589,0.586,0.593,0.997,0.997,0.997,0.872,0.869,0.875,0.985,0.984,0.985,optum_extended_dod
10,"QBA, 730d",4008,Ischemic stroke PL,2,ARB w hypertension,1,ACEI w hypertension,1.16799,1.1083,1.23089,0,445304,153507,NA,NA,4362,1289,0.15528,0.02676,4.59573,Ischemic stroke,NA,0.589,0.586,0.593,0.997,0.997,0.997,0.872,0.869,0.875,0.985,0.984,0.985,optum_extended_dod
11,"PS matched, 730d",4008,Ischemic stroke PL,1,ACEI w hypertension,4,dCCB w hypertension,0.98278,0.91841,1.05165,0.61521,154874,154874,76815728,76924494,1655,1684,-0.01737,0.03456,0.12594,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
11,"PS matched, 730d",4009,Ischemic stroke NC,3,THZ w hypertension,5,ndCCB w hypertension,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
11,"PS matched, 730d",4008,Ischemic stroke PL,2,ARB w hypertension,1,ACEI w hypertension,1.09599,1.01338,1.18545,0.02196,150881,150881,73775287,74323201,1313,1198,0.09166,0.04001,2.63433,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
