Database,drug,count,Total,Diagnosed,pct,pct_formatted
Optum_Panther,methotrexate,40007,113410,311677,0.3527643064985451,35.3
Optum_Panther,Other DMARDs & Minocycline,34959,113410,311677,0.3082532404549863,30.8
Optum_Panther,leflunomide,5268,113410,311677,0.046450930253064106,4.6
Optum_Panther,methotrexate +  hydroxychloroquine,6254,113410,311677,0.05514504893748347,5.5
Optum_Panther,hydroxychloroquine,23098,113410,311677,0.20366810686888281,20.4
SIDIAP,sulfasalazine,14,1443,14254,0.009702009702009701,1
SIDIAP,leflunomide,235,1443,14254,0.16285516285516285,16.3
SIDIAP,methotrexate,1020,1443,14254,0.7068607068607069,70.7
SIDIAP,hydroxychloroquine,174,1443,14254,0.12058212058212059,12.1
THIN,methotrexate,2808,6383,20812,0.439918533604888,44
THIN,leflunomide,118,6383,20812,0.01848660504464985,1.8
THIN,sulfasalazine,1834,6383,20812,0.28732570891430365,28.7
THIN,hydroxychloroquine,1371,6383,20812,0.21478928403571987,21.5
THIN,methotrexate +  hydroxychloroquine,131,6383,20812,0.020523264922450258,2.1
THIN,Other DMARDs & Minocycline,121,6383,20812,0.018956603477988408,1.9
