targetName,targetId,cohortId,subgroupId,subgroupName,cohortType
Malignant tumor of urinary bladder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,1975080010,1975080010,0,All,Target
"Cardiogenic shock by Vallabhajosyula, All events of Cardiogenic shock during inpatient or ER",1985710030,1985710030,0,All,Target
Primary malignant neoplasm of kidney referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,1989850010,1989850010,0,All,Target
Acute pancreatitis prevalent cohort: defined by condition occurrences of 'Acute pancreatitis' conceptset occurring between start and end of inpatient or ER visit,1990740030,1990740030,0,All,Target
Abdominal pain referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,2002190010,2002190010,0,All,Target
Toxic shock syndrome referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,2012140010,2012140010,0,All,Target
Type 1 diabetes mellitus incident cohort: First occurrence of 'Type 1 diabetes mellitus' concept with >=365d prior observation,2012540030,2012540030,0,All,Target
Gastritis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,2013400010,2013400010,0,All,Target
Crohn's disease for first time with no history (Thirumurthi),2016060030,2016060030,0,All,Target
Kidney stone referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,2016200010,2016200010,0,All,Target
Type 2 diabetes mellitus incident cohort: First condition occurrence of 'Type 2 diabetes mellitus' conceptset or Type 2 diabetes treatment or HbA1c > 6.5 and no prior observation of 'History of diabetes',2018260050,2018260050,0,All,Target
Sjogren's syndrome at first diagnosis,2544430030,2544430030,0,All,Target
"Hospitalization for Chronic obstructive pulmonary disease, defined by inpatient visit with a primary condition occurrence of 'COPD' conceptset",2555730030,2555730030,0,All,Target
"Pneumonia prevalent cohort: Episodes of pneumonia, defined by condition occurrences of 'pneumonia' conceptset",2558480040,2558480040,0,All,Target
Allergic rhinitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,2570070010,2570070010,0,All,Target
Systemic lupus erythematosus (SLE) at first diagnosis,2576280030,2576280030,0,All,Target
"Acute myocardial infarction events, defined by condition occurrences of 'Acute myocardial Infarction' conceptset occurring between start and end of inpatient or ER visit",3123270030,3123270030,0,All,Target
"Dyspnea prevalent cohort: Episodes of dyspnea, defined by condition occurrences of 'shortness of breath (dyspnea)' conceptset",3124370030,3124370030,0,All,Target
Thromboangiitis obliterans referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,3129390010,3129390010,0,All,Target
"Atrial fibrillation incident cohort: First occurrence of Atrial fibrillation with descendants with >=365d prior observation, removing family history code",3132170060,3132170060,0,All,Target
Granulomatosis with polyangiitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,3132230010,3132230010,0,All,Target
Sleep apnea referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,3134590010,3134590010,0,All,Target
"Thrombotic microangiopathy events, based on diagnosis codes from Reynolds AJKD 2003 and Perkins NDT 2006",3138000030,3138000030,0,All,Target
"Multi-system inflammatory syndrome (Kawasaki disease or toxic shock syndrome) episodes, defined by condition occurrences of 'Toxic shock syndrome or kawasaki disease' conceptset",3143810030,3143810030,0,All,Target
"Myocarditis by SundbÃ¸ll, First diagnosis of custom codes from SundbÃ¸ll, during inpatient or outpatient",3143830030,3143830030,0,All,Target
Heart failure referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,3161390010,3161390010,0,All,Target
Hypertensive disorder prevalent cohort: First condition occurrence of 'Hypertension' conceptset,3168660030,3168660030,0,All,Target
"Hospitalization for Asthma, defined by inpatient visit with a primary condition occurrence of 'asthma' conceptset",3170090030,3170090030,0,All,Target
Migraine incident cohort: First occurrence of 'Migraine excluding abdominal migraine'+ descendants excluding abdominal migraine with >=365d prior observation,3187360030,3187360030,0,All,Target
Gastroesophageal reflux disease incident cohort: First occurrence of 'GERD' concept with >=365d prior observation,3188000030,3188000030,0,All,Target
Acute respiratory failure incident cohort: First occurrence of 'Acute respiratory failure' conceptset with >=365d prior observation,3190490030,3190490030,0,All,Target
Peripheral vascular disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,3210520010,3210520010,0,All,Target
Otitis media referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,3723280010,3723280010,0,All,Target
"Transient ischemic attack events, defined by condition occurrences of 'Transient cerebral Ischemia (TCA)' conceptset occurring between start and end of inpatient or ER visit",3735030030,3735030030,0,All,Target
"Acute disseminated encephalomyelitis hospitalization events, using diagnosis codes from Minegishi 2019",3740210030,3740210030,0,All,Target
Multiple Sclerosis (MS) at first diagnosis,3749190030,3749190030,0,All,Target
Optic neuritis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,3749540010,3749540010,0,All,Target
"Hemorrhagic stroke events, defined by condition occurrences of 'intracranial bleed Hemorrhagic stroke' conceptset occurring between start and end of inpatient or ER visit",3767130030,3767130030,0,All,Target
"Alzheimer's disease by Imfeld Epilepsia, 2013",3784190030,3784190030,0,All,Target
Epilepsy Moura 1,3803780080,3803780080,0,All,Target
Parkinson's disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,3812700010,3812700010,0,All,Target
"Stroke events, defined by condition occurrences of 'Stroke (ischemic or hemorrhagic)' conceptset occurring between start and end of inpatient or ER visit",3813160030,3813160030,0,All,Target
"Angioedema events, defined by condition occurrences of 'Angioedema' conceptset occurring between start and end of inpatient or ER visit",4327910030,4327910030,0,All,Target
Hyperlipidemia referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4328670010,4328670010,0,All,Target
"Idiopathic thrombocytopenic purpura events, as defined by diagnosis codes from Shaw Platelets 2020",4328700030,4328700030,0,All,Target
"Thrombocytopenia events, as defined by diagnosis codes from Altomare ClinEpi 2016",4328700040,4328700040,0,All,Target
Obesity prevalent cohort: Earliest of condition occurrence or observation of 'obesity diagnoses' conceptset or BMI > 30 or body weight > 120kg,4337360030,4337360030,0,All,Target
Hidradenitis at first diagnosis,4341190030,4341190030,0,All,Target
Tuberculosis prevalent cohort: First condition occurrence of 'Respiratory and pulmonary tuberculosis' conceptset,4345570030,4345570030,0,All,Target
"B-cell lymphoma incident cohort: First occurrence of ""B-cell lymphoma"" with exclusions + descendants with >=365d prior observation",4345920030,4345920030,0,All,Target
"Schizophrenia by Ren, 2005 and repeated in literature",4357830030,4357830030,0,All,Target
"Hospitalization for Psychosis, defined by inpatient visit with a primary condition occurrence of 'psychosis' conceptset",4360730030,4360730030,0,All,Target
Narcolepsy (generalized algorithm from literature),4361000030,4361000030,0,All,Target
Behcet's syndrome custom concept (includes arthropathy) incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4366420040,4366420040,0,All,Target
Bipolar disorder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4366650010,4366650010,0,All,Target
Posttraumatic stress disorder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4366760010,4366760010,0,All,Target
Insomnia with disorders of maintaing sleep concept prevalent cohort: First occurrence of expanded concept + descendants (excluding hypo/hypersomnias),4369620030,4369620030,0,All,Target
Ankylosing spondylitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4370820010,4370820010,0,All,Target
Multiple myeloma referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4372330010,4372330010,0,All,Target
Glaucoma referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4375410010,4375410010,0,All,Target
Attention deficit hyperactivity disorder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4384090010,4384090010,0,All,Target
HIV prevalent cohort: First occurrence of 'HIV excluding HIV-II' conceptset,4397270040,4397270040,0,All,Target
Autism spectrum disorder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4397760010,4397760010,0,All,Target
"Depressive disorder prevalent cohort, defined as the earliest condition occurrence of 'Depressive disorder' conceptset with no teratment more than 30 days prior and no prior psychosies/mania",4403830030,4403830030,0,All,Target
"Pulmonary embolism events, defined by condition occurrences of 'Pulmonary embolism' conceptset",4404170030,4404170030,0,All,Target
Gout referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4406740010,4406740010,0,All,Target
Takayasu's disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4407400010,4407400010,0,All,Target
Anaphylactic reaction by Walsh (Mini-sentinial validated definition),4412020030,4412020030,0,All,Target
Malignant tumor of stomach referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4433870010,4433870010,0,All,Target
"Ischemic stroke events, defined by condition occurrences of 'Ischemic stroke' conceptset occurring between start and end of inpatient or ER visit",4434540030,4434540030,0,All,Target
Acute tubular necrosis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4440440010,4440440010,0,All,Target
Non-Hodgkin's lymphoma referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,40388380010,40388380010,0,All,Target
Inflammatory bowel disease,40748150030,40748150030,0,All,Target
Facial palsy referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,40915590010,40915590010,0,All,Target
"ventricular arrhythmia or cardiac arrest during hospitalization, defined by condition occurrences of 'ventricular arrhythmia or cardiac arrest' conceptset occurring between start and end of inpatient visit",41032950030,41032950030,0,All,Target
"Deep vein thrombosis events, defined by condition occurrences of 'deep vein thrombosis' conceptset",41330040050,41330040050,0,All,Target
"Guillain-Barre syndrome inpatient (Arya et al, ScallenWalter et al, Iqbal et al, Anandan et al, Rasmussen et al. Baxter et al.)",41647700030,41647700030,0,All,Target
Malignant tumor of colon referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,41807900010,41807900010,0,All,Target
Malignant tumor of esophagus referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,41813430010,41813430010,0,All,Target
Dementia referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,41822100010,41822100010,0,All,Target
Aseptic meningitis by Perez-Vilar (specific codes for meningitias excluding encephalitis diagnosis),42010960030,42010960030,0,All,Target
"Hepatic failure prevalent cohort: First condition occurrence of 'hepatic failure, necrosis or coma' conceptset",42459750030,42459750030,0,All,Target
Malignant neoplasm of liver referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,42461270010,42461270010,0,All,Target
Respiratory failure referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,42562280010,42562280010,0,All,Target
Influenza custom cohort: Flu-like symptom episodes,42663670030,42663670030,0,All,Target
Type B viral hepatitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,42812320010,42812320010,0,All,Target
Giant cell arteritis at first diagnosis (no history of giant cell arteritis),42909760030,42909760030,0,All,Target
Primary malignant neoplasm of respiratory tract referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,43114990010,43114990010,0,All,Target
Pulmonary hypertension referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,43220240010,43220240010,0,All,Target
Stress Cardiomyopathy as per Bhat et al (US 2020),404795890030,404795890030,0,All,Target
Vasculitis associated with Antineutrophil cytoplasmic antibody (ANCA)-associated vasculitis,425357140030,425357140030,0,All,Target
"Anosmia OR Hyposmia OR Dysgeusia episodes, defined by condition occurrences of 'Altered smell or taste' conceptset",435307140030,435307140030,0,All,Target
Cardiac arrhythmia referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,447842170010,447842170010,0,All,Target
Fracture of bone of hip region (dx + px) referent concept incident cohort (aged 50-89): First occurrence of hip fracture dx or procedure with >=365d prior observation,457636530030,457636530030,0,All,Target
Chronic kidney disease incident cohort: First condition occurrence of 'chronic kidney disease' conceptset,462710220060,462710220060,0,All,Target
Persons observed in 2017 with 3yr prior observation (Age 0-9),1000,3000,2000,Black,TwS
Crohn's disease for first time with no history (Thirumurthi),2016060030,3045,2000,Black,TwS
Rheumatoid arthritis at first diagnosis (no history of Rheumatoid arthritis),808090030,3015,2000,Black,TwS
"Ischemic stroke events, defined by condition occurrences of 'Ischemic stroke' conceptset occurring between start and end of inpatient or ER visit",4434540030,3106,2000,Black,TwS
Glaucoma referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4375410010,3096,2000,Black,TwS
Epilepsy Moura 1,3803780080,3076,2000,Black,TwS
Abdominal pain referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,2002190010,3041,2000,Black,TwS
Kidney stone referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,2016200010,3046,2000,Black,TwS
Ulcerative colitis at first diagnosis with no history of ulcerative colitis,818930030,3016,2000,Black,TwS
Persons observed in 2017 with 3yr prior observation (Age 10-19),1001,3001,2000,Black,TwS
"Hepatitis C prevalent cohort: First condition occurrence of 'Hepatitis C' conceptset (with Viral Hepatitis Carrier, Cirrhosis of liver due to chronic hepatitis C)",1974940040,3036,2000,Black,TwS
"Myocarditis by SundbÃ¸ll, First diagnosis of custom codes from SundbÃ¸ll, during inpatient or outpatient",3143830030,3061,2000,Black,TwS
Parkinson's disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,3812700010,3077,2000,Black,TwS
Posttraumatic stress disorder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4366760010,3092,2000,Black,TwS
"Primary biliary cirrhosis for first time in patients history, with exclusion of secondary biliary cirrhosis",1926750030,3032,2000,Black,TwS
Systemic sclerosis or or localized scleroderma at first diagnosis,1344420050,3022,2000,Black,TwS
Type 2 diabetes mellitus incident cohort: First condition occurrence of 'Type 2 diabetes mellitus' conceptset or Type 2 diabetes treatment or HbA1c > 6.5 and no prior observation of 'History of diabetes',2018260050,3047,2000,Black,TwS
Persons observed in 2017 with 3yr prior observation (Age 20-29),1002,3002,2000,Black,TwS
Granulomatosis with polyangiitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,3132230010,3057,2000,Black,TwS
"Stroke events, defined by condition occurrences of 'Stroke (ischemic or hemorrhagic)' conceptset occurring between start and end of inpatient or ER visit",3813160030,3078,2000,Black,TwS
Toxic shock syndrome referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,2012140010,3042,2000,Black,TwS
Psoriatic arthritis,819310040,3017,2000,Black,TwS
Type 1 diabetes mellitus incident cohort: First occurrence of 'Type 1 diabetes mellitus' concept with >=365d prior observation,2012540030,3043,2000,Black,TwS
Erythema multiforme incident cohort: First occurrence of 'Erythema multiforme or Stevens Johnson Syndrome' concept with >=365d prior observation,1327020030,3018,2000,Black,TwS
Hypertensive disorder prevalent cohort: First condition occurrence of 'Hypertension' conceptset,3168660030,3063,2000,Black,TwS
Persons observed in 2017 with 3yr prior observation (Age 30-39),1003,3003,2000,Black,TwS
Sjogren's syndrome at first diagnosis,2544430030,3048,2000,Black,TwS
Hidradenitis at first diagnosis,4341190030,3084,2000,Black,TwS
"Neck pain cohort: First occurrence of ""neck pain"" concept Without descendants",241340030,3008,2000,Black,TwS
"Hospitalization for Asthma, defined by inpatient visit with a primary condition occurrence of 'asthma' conceptset",3170090030,3064,2000,Black,TwS
"Hospitalization for Chronic obstructive pulmonary disease, defined by inpatient visit with a primary condition occurrence of 'COPD' conceptset",2555730030,3049,2000,Black,TwS
"Dyspnea prevalent cohort: Episodes of dyspnea, defined by condition occurrences of 'shortness of breath (dyspnea)' conceptset",3124370030,3054,2000,Black,TwS
"Sepsis during hospitalization, defined by condition occurrences of 'sepsis' conceptset occurring between start and end of inpatient visit",1327970030,3019,2000,Black,TwS
Malignant tumor of esophagus referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,41813430010,3115,2000,Black,TwS
Facial palsy referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,40915590010,3110,2000,Black,TwS
Persons observed in 2017 with 3yr prior observation (Age 40-49),1004,3004,2000,Black,TwS
Tuberculosis prevalent cohort: First condition occurrence of 'Respiratory and pulmonary tuberculosis' conceptset,4345570030,3085,2000,Black,TwS
"Chronic lymphoid leukemia, disease referent concept prevalent cohort: First occurrence of updated concept set + descendants (condition and observation domain)",1383790030,3024,2000,Black,TwS
"Acute kidney injury diagnosis during hospitalization, defined by condition occurrences of 'acute renal failure' conceptset occurring between start and end of inpatient visit",1973200040,3035,2000,Black,TwS
Thyroiditis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,1334440010,3020,2000,Black,TwS
Persons observed in 2017 with 3yr prior observation (Age 50-59),1005,3005,2000,Black,TwS
Acute pancreatitis prevalent cohort: defined by condition occurrences of 'Acute pancreatitis' conceptset occurring between start and end of inpatient or ER visit,1990740030,3040,2000,Black,TwS
"Pneumonia prevalent cohort: Episodes of pneumonia, defined by condition occurrences of 'pneumonia' conceptset",2558480040,3050,2000,Black,TwS
Persons observed in 2017 with 3yr prior observation (Age 70-79),1007,3007,2000,Black,TwS
"B-cell lymphoma incident cohort: First occurrence of ""B-cell lymphoma"" with exclusions + descendants with >=365d prior observation",4345920030,3086,2000,Black,TwS
"ventricular arrhythmia or cardiac arrest during hospitalization, defined by condition occurrences of 'ventricular arrhythmia or cardiac arrest' conceptset occurring between start and end of inpatient visit",41032950030,3111,2000,Black,TwS
"Hospitalization for Psychosis, defined by inpatient visit with a primary condition occurrence of 'psychosis' conceptset",4360730030,3088,2000,Black,TwS
Atopic dermatitis and Eczema at first diagnosis,1338340050,3021,2000,Black,TwS
"Idiopathic thrombocytopenic purpura events, as defined by diagnosis codes from Shaw Platelets 2020",4328700030,3081,2000,Black,TwS
"Atrial fibrillation incident cohort: First occurrence of Atrial fibrillation with descendants with >=365d prior observation, removing family history code",3132170060,3056,2000,Black,TwS
Bipolar disorder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4366650010,3091,2000,Black,TwS
Persons observed in 2017 with 3yr prior observation (Age 60-69),1006,3006,2000,Black,TwS
"Nausea Events All Events of referent concept ""Nausea + descendants"" with 30 day gap",319670030,3011,2000,Black,TwS
Acute respiratory failure incident cohort: First occurrence of 'Acute respiratory failure' conceptset with >=365d prior observation,3190490030,3067,2000,Black,TwS
Attention deficit hyperactivity disorder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4384090010,3097,2000,Black,TwS
Aseptic meningitis by Perez-Vilar (specific codes for meningitias excluding encephalitis diagnosis),42010960030,3117,2000,Black,TwS
Malignant tumor of colon referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,41807900010,3114,2000,Black,TwS
Malignant tumor of urinary bladder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,1975080010,3037,2000,Black,TwS
Non-Hodgkin's lymphoma referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,40388380010,3108,2000,Black,TwS
'Hypoglycemia disorder' incident cohort: First occurrence + descendants with >=365d prior observation,246090030,3009,2000,Black,TwS
Narcolepsy (generalized algorithm from literature),4361000030,3089,2000,Black,TwS
"Acute myocardial infarction events, defined by condition occurrences of 'Acute myocardial Infarction' conceptset occurring between start and end of inpatient or ER visit",3123270030,3053,2000,Black,TwS
Primary malignant neoplasm of kidney referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,1989850010,3039,2000,Black,TwS
Obesity prevalent cohort: Earliest of condition occurrence or observation of 'obesity diagnoses' conceptset or BMI > 30 or body weight > 120kg,4337360030,3083,2000,Black,TwS
Jaundice referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,1379770010,3023,2000,Black,TwS
Sleep apnea referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,3134590010,3058,2000,Black,TwS
"Cardiogenic shock by Vallabhajosyula, All events of Cardiogenic shock during inpatient or ER",1985710030,3038,2000,Black,TwS
Osteoarthritis incident cohort: First occurrence of 'osteoarthritis' concept with >=365d prior observation,801800030,3013,2000,Black,TwS
Autism spectrum disorder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4397760010,3099,2000,Black,TwS
"Transient ischemic attack events, defined by condition occurrences of 'Transient cerebral Ischemia (TCA)' conceptset occurring between start and end of inpatient or ER visit",3735030030,3070,2000,Black,TwS
Ankylosing spondylitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4370820010,3094,2000,Black,TwS
Malignant neoplasm of liver referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,42461270010,3119,2000,Black,TwS
Dementia referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,41822100010,3116,2000,Black,TwS
Giant cell arteritis at first diagnosis (no history of giant cell arteritis),42909760030,3123,2000,Black,TwS
Hypothyroidism referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,1406730010,3029,2000,Black,TwS
"Pulmonary embolism events, defined by condition occurrences of 'Pulmonary embolism' conceptset",4404170030,3101,2000,Black,TwS
Osteoporosis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,805020010,3014,2000,Black,TwS
"Alzheimer's disease by Imfeld Epilepsia, 2013",3784190030,3075,2000,Black,TwS
"Transverse myelitis events, using diagnosis codes from Marrie MSRD 2018",1398030050,3026,2000,Black,TwS
Thromboangiitis obliterans referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,3129390010,3055,2000,Black,TwS
Dysphagia incident cohort: First occurrence of Dysphagia and Difficulty swallowing descendants with >=365d prior observation,313170030,3010,2000,Black,TwS
Influenza custom cohort: Flu-like symptom episodes,42663670030,3121,2000,Black,TwS
Heart failure referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,3161390010,3062,2000,Black,TwS
Psoriasis at first diagnosis (no history of Psoriasis),1401680030,3027,2000,Black,TwS
"Anosmia OR Hyposmia OR Dysgeusia episodes, defined by condition occurrences of 'Altered smell or taste' conceptset",435307140030,3128,2000,Black,TwS
Systemic lupus erythematosus (SLE) at first diagnosis,2576280030,3052,2000,Black,TwS
Gastritis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,2013400010,3044,2000,Black,TwS
"Acute disseminated encephalomyelitis hospitalization events, using diagnosis codes from Minegishi 2019",3740210030,3071,2000,Black,TwS
Constipation Events: all occurrence of referent concept + descendants with 30 days gap,758600030,3012,2000,Black,TwS
"Gastrointestinal bleeding events, defined by condition occurrences of 'Gastrointestinal hemorrhage GI bleeding' conceptset occurring between start and end of inpatient or ER visit",1926710030,3031,2000,Black,TwS
Optic neuritis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,3749540010,3073,2000,Black,TwS
Takayasu's disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4407400010,3103,2000,Black,TwS
Vasculitis associated with Antineutrophil cytoplasmic antibody (ANCA)-associated vasculitis,425357140030,3127,2000,Black,TwS
Gout referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4406740010,3102,2000,Black,TwS
Multiple Sclerosis (MS) at first diagnosis,3749190030,3072,2000,Black,TwS
Stress Cardiomyopathy as per Bhat et al (US 2020),404795890030,3126,2000,Black,TwS
"Acute myeloid leukemia, disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation",1403520010,3028,2000,Black,TwS
Anaphylactic reaction by Walsh (Mini-sentinial validated definition),4412020030,3104,2000,Black,TwS
Inflammatory bowel disease,40748150030,3109,2000,Black,TwS
Celiac disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,1949920010,3034,2000,Black,TwS
"Angioedema events, defined by condition occurrences of 'Angioedema' conceptset occurring between start and end of inpatient or ER visit",4327910030,3079,2000,Black,TwS
Fracture of bone of hip region (dx + px) referent concept incident cohort (aged 50-89): First occurrence of hip fracture dx or procedure with >=365d prior observation,457636530030,3130,2000,Black,TwS
Allergic rhinitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,2570070010,3051,2000,Black,TwS
