"Outcome","Database","HR (95% CI)","P","Cal. HR (95% CI)","Cal. p"
"Chest pain or angina","VA","0.95 (0.61 - 1.51)","0.84","0.81 (0.51 - 1.28)","0.38"
"Chest pain or angina","Meta-analysis","1.13 (1.05 - 1.22)","0.00","1.15 (1.05 - 1.26)","0.01"
"Heart failure","AmbEMR","1.06 (0.49 - 2.24)","0.89","1.08 (0.51 - 2.31)","0.83"
"Heart failure","CCAE","1.00 (0.55 - 1.86)","0.99","1.01 (0.55 - 1.86)","0.91"
"Heart failure","MDCD","0.83 (0.35 - 2.11)","0.68","0.96 (0.39 - 2.35)","0.87"
"Heart failure","MDCR","1.14 (0.69 - 1.91)","0.61","1.33 (0.79 - 2.22)","0.32"
"Heart failure","OpenClaims","1.26 (1.08 - 1.46)","0.00","1.29 (1.11 - 1.51)","0.00"
"Heart failure","Optum","1.15 (0.76 - 1.76)","0.52","1.18 (0.77 - 1.80)","0.47"
"Heart failure","PanTher","0.92 (0.63 - 1.35)","0.66","0.97 (0.66 - 1.42)","0.83"
"Heart failure","VA","2.23 (1.36 - 3.76)","0.00","1.89 (1.13 - 3.15)","0.02"
"Heart failure","Meta-analysis","1.20 (1.01 - 1.42)","0.04","1.22 (1.02 - 1.45)","0.04"
"Cardiovascular events","CCAE","0.93 (0.63 - 1.37)","0.71","0.93 (0.63 - 1.39)","0.74"
"Cardiovascular events","MDCD","0.71 (0.41 - 1.24)","0.22","0.82 (0.46 - 1.43)","0.51"
"Cardiovascular events","MDCR","1.41 (0.98 - 2.04)","0.07","1.64 (1.13 - 2.38)","0.02"
"Cardiovascular events","OpenClaims","1.20 (1.08 - 1.34)","0.00","1.24 (1.10 - 1.38)","0.00"
"Cardiovascular events","Optum","1.04 (0.80 - 1.35)","0.77","1.07 (0.81 - 1.40)","0.67"
"Cardiovascular events","PanTher","0.99 (0.71 - 1.39)","0.95","1.04 (0.74 - 1.47)","0.78"
"Cardiovascular events","VA","1.75 (1.28 - 2.41)","0.00","1.48 (1.07 - 2.04)","0.03"
"Cardiac arrhythmia","AmbEMR","1.06 (0.59 - 1.92)","0.85","1.09 (0.60 - 1.97)","0.78"
"Cardiac arrhythmia","CCAE","1.72 (1.24 - 2.41)","0.00","1.73 (1.24 - 2.43)","0.00"
"Cardiac arrhythmia","MDCD","0.83 (0.37 - 1.83)","0.65","0.96 (0.43 - 2.14)","0.86"
"Cardiac arrhythmia","MDCR","0.84 (0.53 - 1.33)","0.45","0.97 (0.61 - 1.55)","0.79"
"Cardiac arrhythmia","OpenClaims","0.97 (0.85 - 1.10)","0.61","0.99 (0.87 - 1.14)","0.82"
"Cardiac arrhythmia","Optum","1.19 (0.84 - 1.67)","0.33","1.22 (0.86 - 1.72)","0.30"
"Cardiac arrhythmia","PanTher","0.81 (0.61 - 1.09)","0.17","0.86 (0.64 - 1.15)","0.35"
"Cardiac arrhythmia","VA","1.16 (0.72 - 1.89)","0.56","0.98 (0.60 - 1.60)","0.83"
"Bradycardia","CCAE","0.98 (0.15 - 5.63)","0.98","0.99 (0.16 - 6.03)","0.97"
"Bradycardia","MDCD","1.34 (0.05 - 34.54)","0.86","1.54 (0.06 - 39.86)","0.80"
"Bradycardia","MDCR","0.55 (0.14 - 2.34)","0.41","0.64 (0.16 - 2.64)","0.54"
"Bradycardia","OpenClaims","1.14 (0.80 - 1.61)","0.47","1.17 (0.82 - 1.66)","0.39"
"Bradycardia","Optum","0.58 (0.23 - 1.39)","0.23","0.59 (0.24 - 1.45)","0.26"
"Bradycardia","PanTher","0.51 (0.23 - 1.11)","0.09","0.54 (0.25 - 1.19)","0.13"
"Bradycardia","VA","0.92 (0.13 - 6.33)","0.93","0.78 (0.11 - 5.42)","0.80"
"Bradycardia","Meta-analysis","0.92 (0.69 - 1.22)","0.56","0.93 (0.70 - 1.25)","0.66"
"Transient ischemic attack","CCAE","0.36 (0.10 - 1.07)","0.08","0.36 (0.11 - 1.15)","0.09"
"Transient ischemic attack","MDCD","5.37 (0.93 - 101.31)","0.16","6.19 (0.59 - 64.74)","0.13"
"Transient ischemic attack","MDCR","0.67 (0.24 - 1.87)","0.44","0.78 (0.28 - 2.17)","0.64"
"Transient ischemic attack","OpenClaims","0.98 (0.72 - 1.32)","0.88","1.00 (0.74 - 1.36)","0.92"
"Transient ischemic attack","Optum","1.03 (0.52 - 2.01)","0.94","1.05 (0.53 - 2.07)","0.88"
"Transient ischemic attack","PanTher","1.78 (0.51 - 6.77)","0.38","1.87 (0.51 - 6.83)","0.34"
"Transient ischemic attack","VA","2.02 (0.59 - 8.14)","0.29","1.71 (0.46 - 6.35)","0.43"
"Transient ischemic attack","Meta-analysis","0.99 (0.70 - 1.41)","0.96","1.01 (0.71 - 1.44)","0.93"
"Stroke","CCAE","0.77 (0.32 - 1.92)","0.58","0.78 (0.32 - 1.93)","0.59"
"Stroke","MDCD","0.79 (0.26 - 2.42)","0.68","0.91 (0.29 - 2.79)","0.85"
"Stroke","MDCR","1.37 (0.61 - 3.18)","0.45","1.60 (0.70 - 3.66)","0.29"
"Stroke","OpenClaims","1.05 (0.83 - 1.34)","0.68","1.08 (0.85 - 1.38)","0.54"
"Stroke","Optum","1.08 (0.63 - 1.86)","0.78","1.11 (0.64 - 1.91)","0.72"
"Stroke","PanTher","2.82 (1.19 - 7.14)","0.02","2.98 (1.21 - 7.30)","0.02"
"Stroke","VA","0.89 (0.32 - 2.38)","0.82","0.76 (0.28 - 2.06)","0.59"
"Stroke","Meta-analysis","1.09 (0.90 - 1.32)","0.39","1.11 (0.91 - 1.36)","0.34"
"Venous thromboembolism","AmbEMR","0.53 (0.23 - 1.17)","0.13","0.54 (0.24 - 1.23)","0.15"
"Venous thromboembolism","CCAE","0.94 (0.58 - 1.53)","0.81","0.95 (0.58 - 1.55)","0.82"
"Venous thromboembolism","MDCD","0.44 (0.16 - 1.10)","0.09","0.51 (0.20 - 1.31)","0.17"
"Venous thromboembolism","MDCR","1.01 (0.53 - 1.93)","0.98","1.17 (0.61 - 2.26)","0.65"
"Venous thromboembolism","OpenClaims","0.96 (0.81 - 1.13)","0.60","0.98 (0.83 - 1.17)","0.83"
"Venous thromboembolism","Optum","0.91 (0.60 - 1.36)","0.64","0.93 (0.62 - 1.41)","0.74"
"Venous thromboembolism","PanTher","1.36 (0.93 - 2.01)","0.12","1.43 (0.97 - 2.12)","0.08"
"Venous thromboembolism","VA","1.25 (0.67 - 2.37)","0.49","1.06 (0.56 - 2.00)","0.84"
"Venous thromboembolism","Meta-analysis","0.97 (0.82 - 1.15)","0.74","0.99 (0.83 - 1.18)","0.86"
"Gastrointestinal bleeding","CCAE","0.65 (0.35 - 1.20)","0.17","0.66 (0.35 - 1.22)","0.19"
"Gastrointestinal bleeding","MDCD","0.70 (0.24 - 1.92)","0.49","0.80 (0.28 - 2.26)","0.68"
"Gastrointestinal bleeding","MDCR","0.60 (0.30 - 1.20)","0.16","0.70 (0.35 - 1.42)","0.34"
"Gastrointestinal bleeding","OpenClaims","1.06 (0.86 - 1.30)","0.61","1.09 (0.88 - 1.34)","0.46"
"Gastrointestinal bleeding","Optum","1.04 (0.62 - 1.74)","0.88","1.07 (0.64 - 1.79)","0.81"
"Gastrointestinal bleeding","PanTher","1.25 (0.67 - 2.36)","0.49","1.31 (0.70 - 2.47)","0.40"
"Gastrointestinal bleeding","VA","1.42 (0.75 - 2.71)","0.29","1.20 (0.63 - 2.30)","0.60"
"Gastrointestinal bleeding","Meta-analysis","1.00 (0.84 - 1.19)","0.97","1.02 (0.85 - 1.22)","0.81"
"Acute renal failure","CCAE","1.26 (0.78 - 2.03)","0.35","1.27 (0.78 - 2.05)","0.35"
"Acute renal failure","MDCD","0.74 (0.38 - 1.40)","0.36","0.85 (0.44 - 1.63)","0.64"
"Acute renal failure","MDCR","1.47 (0.88 - 2.49)","0.14","1.71 (1.01 - 2.89)","0.06"
"Acute renal failure","OpenClaims","0.90 (0.79 - 1.02)","0.11","0.92 (0.80 - 1.06)","0.29"
"Acute renal failure","Optum","1.39 (1.01 - 1.91)","0.04","1.42 (1.03 - 1.97)","0.04"
"Acute renal failure","PanTher","0.84 (0.58 - 1.23)","0.37","0.89 (0.61 - 1.30)","0.56"
"Acute renal failure","VA","1.15 (0.85 - 1.56)","0.37","0.97 (0.71 - 1.33)","0.75"
"End stage renal disease","CCAE","0.75 (0.14 - 4.55)","0.75","0.76 (0.13 - 4.26)","0.75"
"End stage renal disease","MDCD","1.91 (0.19 - 18.98)","0.58","2.20 (0.22 - 22.05)","0.51"
"End stage renal disease","MDCR","2.47 (0.55 - 13.92)","0.27","2.88 (0.57 - 14.50)","0.20"
"End stage renal disease","OpenClaims","1.06 (0.65 - 1.73)","0.82","1.09 (0.66 - 1.78)","0.74"
"End stage renal disease","Optum","0.53 (0.10 - 2.37)","0.44","0.55 (0.11 - 2.66)","0.46"
"End stage renal disease","PanTher","1.08 (0.30 - 4.23)","0.91","1.14 (0.30 - 4.25)","0.85"
"End stage renal disease","VA","2.15 (0.49 - 11.17)","0.34","1.83 (0.38 - 8.71)","0.46"
"End stage renal disease","Meta-analysis","1.12 (0.75 - 1.66)","0.58","1.14 (0.76 - 1.69)","0.53"
"Hepatic failure","CCAE","0.48 (0.06 - 2.56)","0.44","0.48 (0.07 - 3.12)","0.45"
"Hepatic failure","MDCD","0.24 (0.01 - 1.89)","0.27","0.27 (0.02 - 3.49)","0.32"
"Hepatic failure","MDCR","1.17 (0.05 - 13.82)","0.91","1.36 (0.08 - 22.48)","0.83"
"Hepatic failure","OpenClaims","0.80 (0.43 - 1.49)","0.49","0.83 (0.44 - 1.54)","0.55"
"Hepatic failure","Optum","3.27 (0.53 - 26.67)","0.24","3.35 (0.47 - 23.92)","0.23"
"Hepatic failure","PanTher","0.84 (0.33 - 2.21)","0.72","0.89 (0.34 - 2.29)","0.81"
"Hepatic failure","VA","1.53 (0.32 - 9.65)","0.62","1.30 (0.24 - 7.09)","0.77"
"Hepatic failure","Meta-analysis","0.86 (0.55 - 1.36)","0.52","0.88 (0.56 - 1.38)","0.58"
"Acute pancreatitis","CCAE","0.70 (0.20 - 2.34)","0.57","0.71 (0.21 - 2.40)","0.58"
"Acute pancreatitis","MDCD","0.62 (0.10 - 3.44)","0.60","0.72 (0.12 - 4.18)","0.71"
"Acute pancreatitis","MDCR","1.61 (0.24 - 10.71)","0.62","1.87 (0.28 - 12.56)","0.52"
"Acute pancreatitis","OpenClaims","0.91 (0.63 - 1.30)","0.60","0.93 (0.65 - 1.34)","0.72"
"Acute pancreatitis","Optum","1.51 (0.53 - 4.21)","0.44","1.54 (0.55 - 4.36)","0.42"
"Acute pancreatitis","PanTher","0.58 (0.17 - 1.90)","0.38","0.61 (0.18 - 2.05)","0.43"
"Acute pancreatitis","VA","1.13 (0.30 - 4.62)","0.86","0.96 (0.25 - 3.75)","0.93"
"Acute pancreatitis","Meta-analysis","0.92 (0.68 - 1.24)","0.59","0.94 (0.69 - 1.27)","0.68"
