"Outcome","Database","HR (95% CI)","P","Cal. HR (95% CI)","Cal. p"
"Acute renal failure","MDCD","1.10 (0.79 - 1.55)","0.57","1.25 (0.89 - 1.76)","0.23"
"Acute renal failure","MDCR","1.06 (0.89 - 1.27)","0.52","1.12 (0.93 - 1.35)","0.27"
"Acute renal failure","OpenClaims","0.97 (0.93 - 1.02)","0.22","0.96 (0.90 - 1.03)","0.31"
"Acute renal failure","Optum","0.96 (0.83 - 1.11)","0.54","0.95 (0.81 - 1.10)","0.54"
"Acute renal failure","VA","0.98 (0.83 - 1.16)","0.84","0.95 (0.80 - 1.13)","0.59"
"Acute renal failure","Meta-analysis","0.98 (0.94 - 1.02)","0.36","0.98 (0.93 - 1.02)","0.38"
"End stage renal disease","AmbEMR","1.41 (0.43 - 4.94)","0.58","1.45 (0.43 - 4.93)","0.55"
"End stage renal disease","CCAE","1.19 (0.65 - 2.21)","0.58","1.13 (0.61 - 2.09)","0.69"
"End stage renal disease","MDCD","1.36 (0.59 - 3.29)","0.48","1.54 (0.65 - 3.64)","0.33"
"End stage renal disease","MDCR","0.85 (0.45 - 1.60)","0.61","0.90 (0.47 - 1.70)","0.75"
"End stage renal disease","OpenClaims","0.94 (0.82 - 1.07)","0.32","0.92 (0.80 - 1.06)","0.29"
"End stage renal disease","Optum","0.59 (0.34 - 1.02)","0.06","0.58 (0.33 - 1.01)","0.06"
"End stage renal disease","VA","1.05 (0.60 - 1.83)","0.87","1.01 (0.58 - 1.77)","0.93"
"End stage renal disease","Meta-analysis","0.94 (0.83 - 1.05)","0.27","0.93 (0.82 - 1.05)","0.26"
"Hepatic failure","CCAE","0.94 (0.53 - 1.67)","0.83","0.90 (0.51 - 1.59)","0.70"
"Hepatic failure","MDCD","0.63 (0.17 - 2.25)","0.48","0.71 (0.20 - 2.56)","0.61"
"Hepatic failure","MDCR","1.37 (0.63 - 2.98)","0.43","1.45 (0.67 - 3.15)","0.35"
"Hepatic failure","OpenClaims","0.84 (0.71 - 1.00)","0.05","0.83 (0.70 - 1.00)","0.05"
"Hepatic failure","Optum","1.18 (0.68 - 2.08)","0.57","1.17 (0.67 - 2.05)","0.59"
"Hepatic failure","VA","1.64 (0.78 - 3.49)","0.19","1.59 (0.75 - 3.35)","0.23"
"Hepatic failure","Meta-analysis","0.93 (0.78 - 1.12)","0.47","0.93 (0.77 - 1.12)","0.44"
"Acute pancreatitis","CCAE","1.03 (0.70 - 1.52)","0.89","0.98 (0.67 - 1.44)","0.91"
"Acute pancreatitis","MDCD","0.65 (0.32 - 1.31)","0.22","0.73 (0.36 - 1.48)","0.40"
"Acute pancreatitis","MDCR","1.13 (0.63 - 2.04)","0.69","1.20 (0.66 - 2.17)","0.56"
"Acute pancreatitis","OpenClaims","1.02 (0.91 - 1.15)","0.73","1.01 (0.89 - 1.15)","0.89"
"Acute pancreatitis","Optum","1.33 (0.86 - 2.05)","0.20","1.31 (0.85 - 2.03)","0.22"
"Acute pancreatitis","VA","0.98 (0.58 - 1.67)","0.95","0.95 (0.56 - 1.62)","0.85"
"Acute pancreatitis","Meta-analysis","1.03 (0.93 - 1.14)","0.60","1.02 (0.92 - 1.14)","0.70"
