"Outcome","Database","HR (95% CI)","P","Cal. HR (95% CI)","Cal. p"
"Chest pain or angina","MDCD","0.91 (0.56 - 1.53)","0.72","0.96 (0.58 - 1.59)","0.77"
"Chest pain or angina","MDCR","0.88 (0.63 - 1.25)","0.47","0.93 (0.66 - 1.30)","0.62"
"Chest pain or angina","OpenClaims","0.91 (0.84 - 0.99)","0.03","0.91 (0.83 - 1.00)","0.10"
"Chest pain or angina","Optum","0.75 (0.62 - 0.91)","0.00","0.82 (0.66 - 1.01)","0.11"
"Chest pain or angina","PanTher","1.09 (0.91 - 1.32)","0.36","1.15 (0.95 - 1.40)","0.19"
"Chest pain or angina","VA","1.04 (0.74 - 1.49)","0.81","1.04 (0.73 - 1.48)","0.80"
"Chest pain or angina","Meta-analysis","0.92 (0.86 - 0.97)","0.01","0.96 (0.83 - 1.11)","0.64"
"Heart failure","AmbEMR","0.96 (0.48 - 2.09)","0.91","1.17 (0.56 - 2.45)","0.68"
"Heart failure","CCAE","1.48 (0.59 - 4.53)","0.45","1.40 (0.50 - 3.90)","0.52"
"Heart failure","CPRD","1.09 (0.05 - 9.99)","0.95","1.32 (0.09 - 19.00)","0.80"
"Heart failure","DAGermany","1.18 (0.19 - 7.31)","0.86","0.65 (0.10 - 4.06)","0.65"
"Heart failure","IMRD","3.37 (0.27 - 79.16)","0.40","5.14 (0.29 - 89.87)","0.29"
"Heart failure","MDCD","1.74 (0.44 - 11.62)","0.51","1.83 (0.36 - 9.40)","0.48"
"Heart failure","MDCR","0.72 (0.41 - 1.29)","0.25","0.75 (0.42 - 1.34)","0.34"
"Heart failure","OpenClaims","0.95 (0.81 - 1.11)","0.49","0.94 (0.80 - 1.11)","0.53"
"Heart failure","Optum","1.10 (0.69 - 1.79)","0.70","1.20 (0.74 - 1.95)","0.48"
"Heart failure","PanTher","1.19 (0.87 - 1.65)","0.29","1.25 (0.91 - 1.73)","0.19"
"Heart failure","VA","1.29 (0.72 - 2.40)","0.41","1.28 (0.70 - 2.34)","0.43"
"Heart failure","Meta-analysis","1.00 (0.89 - 1.14)","0.94","1.05 (0.88 - 1.26)","0.66"
"Cardiovascular events","CCAE","0.76 (0.51 - 1.16)","0.20","0.72 (0.47 - 1.10)","0.17"
"Cardiovascular events","MDCD","0.81 (0.40 - 1.76)","0.58","0.85 (0.40 - 1.80)","0.68"
"Cardiovascular events","MDCR","0.98 (0.68 - 1.44)","0.90","1.02 (0.70 - 1.50)","0.73"
"Cardiovascular events","OpenClaims","0.96 (0.87 - 1.07)","0.49","0.96 (0.86 - 1.08)","0.56"
"Cardiovascular events","Optum","0.88 (0.67 - 1.17)","0.37","0.97 (0.72 - 1.29)","0.77"
"Cardiovascular events","PanTher","1.00 (0.76 - 1.32)","0.98","1.05 (0.80 - 1.39)","0.74"
"Cardiovascular events","VA","1.24 (0.86 - 1.81)","0.26","1.24 (0.85 - 1.80)","0.29"
"Cardiovascular events","Meta-analysis","0.96 (0.88 - 1.05)","0.35","1.00 (0.86 - 1.17)","0.84"
"Cardiac arrhythmia","AmbEMR","0.79 (0.56 - 1.15)","0.21","0.97 (0.67 - 1.40)","0.79"
"Cardiac arrhythmia","CCAE","0.82 (0.60 - 1.14)","0.23","0.78 (0.55 - 1.09)","0.19"
"Cardiac arrhythmia","CPRD","0.46 (0.16 - 1.22)","0.13","0.56 (0.20 - 1.59)","0.34"
"Cardiac arrhythmia","DAGermany","1.51 (0.32 - 6.53)","0.59","0.83 (0.18 - 3.78)","0.74"
"Cardiac arrhythmia","IMRD","0.48 (0.18 - 1.25)","0.14","0.74 (0.26 - 2.11)","0.56"
"Cardiac arrhythmia","MDCD","1.02 (0.50 - 2.27)","0.95","1.08 (0.50 - 2.30)","0.83"
"Cardiac arrhythmia","MDCR","1.00 (0.63 - 1.64)","1.00","1.05 (0.65 - 1.70)","0.77"
"Cardiac arrhythmia","OpenClaims","0.82 (0.74 - 0.91)","0.00","0.82 (0.73 - 0.92)","0.00"
"Cardiac arrhythmia","Optum","0.81 (0.59 - 1.11)","0.18","0.88 (0.64 - 1.22)","0.50"
"Cardiac arrhythmia","PanTher","1.05 (0.85 - 1.31)","0.65","1.11 (0.89 - 1.37)","0.39"
"Cardiac arrhythmia","VA","0.94 (0.65 - 1.37)","0.73","0.93 (0.64 - 1.37)","0.72"
"Cardiac arrhythmia","Meta-analysis","0.85 (0.79 - 0.93)","0.00","0.89 (0.77 - 1.04)","0.25"
"Bradycardia","AmbEMR","1.30 (0.41 - 5.78)","0.70","1.59 (0.42 - 5.97)","0.50"
"Bradycardia","CCAE","0.80 (0.18 - 4.10)","0.78","0.75 (0.16 - 3.59)","0.73"
"Bradycardia","MDCD","1.62 (0.22 - 33.06)","0.70","1.71 (0.14 - 20.83)","0.68"
"Bradycardia","OpenClaims","0.78 (0.57 - 1.08)","0.13","0.78 (0.56 - 1.07)","0.14"
"Bradycardia","Optum","1.67 (0.61 - 5.87)","0.38","1.83 (0.59 - 5.68)","0.30"
"Bradycardia","PanTher","0.82 (0.47 - 1.49)","0.49","0.86 (0.48 - 1.53)","0.61"
"Bradycardia","VA","0.69 (0.21 - 2.72)","0.57","0.69 (0.19 - 2.48)","0.57"
"Bradycardia","Meta-analysis","0.84 (0.65 - 1.08)","0.17","0.88 (0.66 - 1.17)","0.40"
"Transient ischemic attack","CCAE","1.42 (0.58 - 4.01)","0.48","1.34 (0.51 - 3.55)","0.55"
"Transient ischemic attack","MDCD","0.37 (0.09 - 2.61)","0.26","0.39 (0.07 - 2.18)","0.29"
"Transient ischemic attack","MDCR","0.76 (0.32 - 2.04)","0.57","0.80 (0.32 - 2.03)","0.64"
"Transient ischemic attack","OpenClaims","1.19 (0.89 - 1.61)","0.27","1.18 (0.87 - 1.60)","0.30"
"Transient ischemic attack","Optum","1.52 (0.74 - 3.47)","0.29","1.67 (0.77 - 3.64)","0.21"
"Transient ischemic attack","PanTher","0.76 (0.33 - 1.97)","0.54","0.80 (0.33 - 1.95)","0.62"
"Transient ischemic attack","VA","0.92 (0.29 - 3.26)","0.89","0.92 (0.27 - 3.08)","0.89"
"Transient ischemic attack","Meta-analysis","1.12 (0.88 - 1.42)","0.37","1.17 (0.89 - 1.54)","0.31"
"Stroke","CCAE","0.91 (0.41 - 2.23)","0.82","0.86 (0.36 - 2.02)","0.74"
"Stroke","MDCD","1.24 (0.38 - 5.59)","0.76","1.30 (0.34 - 5.04)","0.71"
"Stroke","MDCR","1.00 (0.48 - 2.30)","0.99","1.05 (0.48 - 2.31)","0.85"
"Stroke","OpenClaims","1.11 (0.88 - 1.40)","0.39","1.10 (0.87 - 1.40)","0.44"
"Stroke","Optum","1.19 (0.62 - 2.46)","0.62","1.31 (0.65 - 2.62)","0.47"
"Stroke","PanTher","1.24 (0.63 - 2.65)","0.56","1.30 (0.64 - 2.66)","0.48"
"Stroke","VA","1.06 (0.45 - 2.72)","0.90","1.06 (0.43 - 2.61)","0.90"
"Stroke","Meta-analysis","1.10 (0.91 - 1.34)","0.31","1.16 (0.92 - 1.45)","0.28"
"Venous thromboembolism","AmbEMR","0.66 (0.37 - 1.22)","0.17","0.80 (0.44 - 1.46)","0.48"
"Venous thromboembolism","CCAE","0.87 (0.53 - 1.47)","0.59","0.82 (0.49 - 1.38)","0.49"
"Venous thromboembolism","CPRD","0.47 (0.11 - 1.67)","0.27","0.57 (0.14 - 2.22)","0.45"
"Venous thromboembolism","DAGermany","1.26 (0.30 - 4.85)","0.74","0.69 (0.17 - 2.83)","0.62"
"Venous thromboembolism","IMRD","0.50 (0.15 - 1.53)","0.25","0.76 (0.22 - 2.64)","0.62"
"Venous thromboembolism","MDCD","2.88 (0.81 - 18.45)","0.18","3.03 (0.63 - 14.55)","0.17"
"Venous thromboembolism","MDCR","1.43 (0.69 - 3.35)","0.38","1.50 (0.68 - 3.31)","0.33"
"Venous thromboembolism","OpenClaims","0.89 (0.77 - 1.04)","0.14","0.89 (0.76 - 1.04)","0.18"
"Venous thromboembolism","Optum","0.98 (0.65 - 1.52)","0.92","1.07 (0.69 - 1.66)","0.77"
"Venous thromboembolism","PanTher","1.13 (0.83 - 1.56)","0.45","1.19 (0.87 - 1.63)","0.30"
"Venous thromboembolism","VA","0.73 (0.42 - 1.28)","0.26","0.72 (0.41 - 1.27)","0.26"
"Venous thromboembolism","Meta-analysis","0.92 (0.81 - 1.03)","0.14","0.96 (0.80 - 1.14)","0.68"
"Gastrointestinal bleeding","CCAE","1.15 (0.60 - 2.37)","0.69","1.09 (0.54 - 2.19)","0.81"
"Gastrointestinal bleeding","MDCD","1.32 (0.41 - 5.95)","0.68","1.39 (0.36 - 5.33)","0.64"
"Gastrointestinal bleeding","MDCR","1.50 (0.68 - 3.79)","0.36","1.57 (0.66 - 3.72)","0.31"
"Gastrointestinal bleeding","OpenClaims","0.96 (0.79 - 1.19)","0.71","0.96 (0.78 - 1.19)","0.72"
"Gastrointestinal bleeding","Optum","1.57 (0.87 - 3.03)","0.16","1.72 (0.92 - 3.22)","0.10"
"Gastrointestinal bleeding","PanTher","1.13 (0.67 - 1.99)","0.65","1.19 (0.69 - 2.05)","0.53"
"Gastrointestinal bleeding","VA","0.85 (0.43 - 1.72)","0.65","0.85 (0.42 - 1.70)","0.64"
"Gastrointestinal bleeding","Meta-analysis","1.04 (0.88 - 1.23)","0.67","1.09 (0.88 - 1.34)","0.52"
"Acute renal failure","CCAE","0.85 (0.54 - 1.39)","0.51","0.81 (0.49 - 1.31)","0.42"
"Acute renal failure","MDCD","0.70 (0.37 - 1.40)","0.29","0.73 (0.37 - 1.44)","0.38"
"Acute renal failure","MDCR","1.06 (0.62 - 1.92)","0.83","1.12 (0.63 - 1.96)","0.70"
"Acute renal failure","OpenClaims","1.00 (0.88 - 1.15)","0.95","1.00 (0.87 - 1.15)","0.85"
"Acute renal failure","Optum","0.87 (0.63 - 1.22)","0.41","0.96 (0.68 - 1.34)","0.78"
"Acute renal failure","PanTher","1.06 (0.75 - 1.52)","0.76","1.11 (0.78 - 1.59)","0.57"
"Acute renal failure","VA","1.07 (0.71 - 1.65)","0.75","1.07 (0.70 - 1.63)","0.77"
"Acute renal failure","Meta-analysis","0.98 (0.88 - 1.09)","0.75","1.03 (0.87 - 1.22)","0.78"
"End stage renal disease","CCAE","0.30 (0.04 - 2.80)","0.27","0.29 (0.03 - 2.37)","0.25"
"End stage renal disease","MDCR","0.66 (0.10 - 12.93)","0.74","0.69 (0.06 - 8.02)","0.77"
"End stage renal disease","OpenClaims","1.85 (0.93 - 4.24)","0.11","1.84 (0.86 - 3.95)","0.12"
"End stage renal disease","Optum","0.43 (0.11 - 2.19)","0.27","0.47 (0.11 - 2.13)","0.33"
"End stage renal disease","PanTher","1.24 (0.47 - 4.30)","0.70","1.31 (0.43 - 3.96)","0.64"
"End stage renal disease","VA","0.51 (0.10 - 3.78)","0.47","0.51 (0.08 - 3.11)","0.46"
"End stage renal disease","Meta-analysis","1.02 (0.57 - 1.82)","0.95","1.06 (0.59 - 1.93)","0.84"
"Hepatic failure","CCAE","0.98 (0.16 - 18.80)","0.99","0.92 (0.08 - 10.08)","0.95"
"Hepatic failure","MDCD","0.21 (0.04 - 1.57)","0.10","0.22 (0.03 - 1.40)","0.11"
"Hepatic failure","OpenClaims","0.55 (0.33 - 0.95)","0.03","0.55 (0.32 - 0.94)","0.03"
"Hepatic failure","Optum","0.89 (0.30 - 3.21)","0.84","0.97 (0.30 - 3.17)","0.94"
"Hepatic failure","PanTher","0.73 (0.35 - 1.69)","0.44","0.77 (0.35 - 1.70)","0.52"
"Hepatic failure","VA","2.06 (0.41 - 15.13)","0.43","2.06 (0.34 - 12.54)","0.44"
"Hepatic failure","Meta-analysis","0.64 (0.44 - 0.95)","0.03","0.67 (0.45 - 1.01)","0.07"
"Acute pancreatitis","CCAE","1.23 (0.52 - 3.25)","0.66","1.16 (0.46 - 2.93)","0.75"
"Acute pancreatitis","MDCD","1.10 (0.27 - 7.48)","0.91","1.16 (0.22 - 6.13)","0.87"
"Acute pancreatitis","MDCR","0.98 (0.24 - 4.80)","0.98","1.03 (0.23 - 4.56)","0.93"
"Acute pancreatitis","OpenClaims","0.84 (0.61 - 1.19)","0.32","0.84 (0.60 - 1.18)","0.33"
"Acute pancreatitis","Optum","0.81 (0.35 - 1.96)","0.62","0.88 (0.37 - 2.09)","0.78"
"Acute pancreatitis","PanTher","1.03 (0.40 - 3.21)","0.95","1.09 (0.38 - 3.09)","0.88"
"Acute pancreatitis","VA","3.45 (0.85 - 23.37)","0.14","3.44 (0.66 - 18.09)","0.15"
"Acute pancreatitis","Meta-analysis","0.92 (0.71 - 1.21)","0.57","0.97 (0.72 - 1.31)","0.83"
